Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
Spain,8.159106882,25.0,6.1,37.0,6.3610000000000015,10.0,1165.66
Sri Lanka,6.265360917000001,119.0,14.2,117.0,4.415,195.0,44.14
Sudan,4.803023585,157.0,9.5,133.0,4.1389999999999985,135.0,216.71
Suriname,7.074281523,67.0,23.2,40.0,6.269,150.0,182.5
Sweden,8.387375149,17.0,11.7,10.0,7.291,41.0,675.35
Switzerland,8.78775905,2.0,11.3,2.0,7.508999999999999,11.0,1128.75
Syria,3.765826877,162.0,2.4,156.0,3.069,96.0,354.88
Tajikistan,6.18616229,124.0,3.3,100.0,4.996,129.0,231.14
Tanzania,6.523209346,102.0,9.6,149.0,3.666,156.0,153.61
Thailand,6.6247813010000005,98.0,12.9,33.0,6.474,126.0,253.82
Togo,6.274969005,119.0,16.6,155.0,3.303,91.0,385.32
Trinidad and Tobago,6.8252231939999985,81.0,12.9,43.0,6.167999999999998,78.0,451.5
Tunisia,6.433736122000001,109.0,3.2,98.0,5.045,35.0,737.54
Turkey,6.466232654,107.0,7.2,78.0,5.3889999999999985,24.0,850.58
Uganda,6.769444547000001,85.0,20.0,145.0,3.739,72.0,490.48
Ukraine,6.283135204,118.0,18.5,123.0,4.324,30.0,803.65
United Arab Emirates,6.286675088,117.0,2.7,28.0,6.573,64.0,541.92
United Kingdom,8.497917936,8.0,7.6,23.0,6.725,13.0,1114.45
United States of America,8.388655108,17.0,13.7,13.0,7.104,28.0,822.0
Uruguay,7.728070903,43.0,16.5,29.0,6.545,9.0,1187.31
Venezuela,4.2007244560000006,161.0,3.8,44.0,6.084,59.0,580.98
Vietnam,6.1940038,124.0,7.0,96.0,5.061,134.0,217.75
Yemen,4.25327767,160.0,9.8,147.0,3.724,148.0,184.14
Zambia,6.308849427999999,116.0,11.3,106.0,4.795,88.0,400.56
Zimbabwe,5.6153627870000005,143.0,19.1,131.0,4.1930000000000005,102.0,334.3
